sinhala_unicode,sinhala_romanized
හැබැයි නිකන් හරි එහෙ මෙහෙ බැලුවොත් හරි නින්දක් ගියොත් බිල 40 ක් විතර කරලා නවත්තන්නෙ.,habai nikan hari ehe mehe baluwoth hari nindak giyoth bila 40k withara karala nawattanne.
අදනම් පොඩ්ඩක් එළියට ගිහින් එන්න ඕන.,adanam poddak eliyata gihin enna ona.
දානකම් බලාගෙන හිටියේ නෛස් මරු ඩබලක්,daanakam balagena hitiye nice maru dabalak
මාව ඒ තැනට එක්කන් යන්න.,mawa a thanata ekkan yanna.
බලාගෙන යන්න.,balagena yanna.
හරියට හිතලා වැඩේ කරන්න,hariyata hithala wade karanna
ඔෆිස් එකේ අය හෙට ගමනක් යනවලු,office eke aya heta gamanak yanawalu
ඔයා කිව්ව එක ඇත්ත හැබැයි මේක ඉක්මනට කරගන්න ඕන,oya kiwwa eka atta habai meka ikamanata karaganna ona
මන් අද රස්සාවෙන් අයින් වුණා දැන්නන් පොඩ්ඩක් නිදහසේ ඉන්නවා,mn ada rassawen ain wuna dannan poddak nidahase innawa
කම්පැනි එකෙන් බෝනස් එකක් දුන්නා.,company eken bonus ekak dunna.
ඔයා එනකොට පුලුවන්නන් චොක්ලට් එකක් ගේනවද,oya enakota puluwannan chocolate ekak genawada
ගොඩක් ලෝඩ් එක දාන්න එපා ඉස්සරහට.,godak load eka danna epah issarahata.
මම ගෙදර ඉන්නෙ මේ දවස් ටිකේ.,mama gedara inne meh dawas tike.
පොඩ්ඩක් ඉදලා මට කතා කරන්න.,poddak idala matta katha karanna.
කොහොමද ඉතින්? ජීවිතේ හොදට යනවද ?,kohomada ithin? jivithe hondata yanawada?
හවසට පොඩි සීතලක් දැනෙනවා නේද?,hawasata podi seethalak danenawa neda?
මම මෙතන වැඩ කරනවා,mama methana wada karanawa
ගෙවල් ලග තුන් දෙනෙක් විතර එකතු වෙලා ගත්තනන් හරි ගෙවාගෙන යන්ඩ එකට,geval laga thun denek vitara ekatu vela gattanan hari gevagena yanḍa ekaṭa
අද ඇදුම් ටික වැලට දැම්මද. එද්දි වේලලා තියන්න,ada adum tika walata dammada. eddi welala thiyanna
මම එයාව දන්නවා අපේ පැත්තෙමයි ඉන්නෙ,mama eyawa dannawa apeh pattemai inne
හරි දේ කරන කොට බය වෙන්න එපා.,hari de karana kota baya wenna epah.
මේ තත්වෙ මට නම් තේරුම් ගන්න බෑ.,meh thathwe matta nm therum ganna ba.
මේ මාසෙ සැලරි එක තවම වැටුනේ නෑ.,meh mase salary eka thawama watune na.
කාර් එක කීයක් කියලද කිව්වේ,car eka keeyak kiyalada kiwwe
අපි කැන්ඩි වල ට්‍රිප් එකක් ගියා.,api kandy wala trip ekak giya.
අද උදේ ඉදන්ම ඉන්ටනෙට් ස්ලෝ.,ada ude idanma internet slow.
පන්ති එනවද ඔයා ඊළග සතියේ,panthi enawada oya elaga sathiye
උඩුකය සුදු ඇදුමකින් එන්න,uḍukaya sudu adumakin enna
ඔයා නෝට්ස් ටික දැන් බැලුවද?,oya notes tika dan baluwada?
අම්මා බත් උයනවා.,amma bath uyanawa.
දැක්කද ළගදි ඉදන් යන ඩාන්ස් ට්‍රෙන්ඩ් එක,dakkada lagadi idan yana dance trend eka
හැමදේම වෙන්නෙ හොදට කියලා හිතමු.,hama dema wenne hodata kiyala hithamu.
අරයා අලුතෙන් සින්දුවක් හදලා ගොඩක් අය එක බලලා,araya aluthen sinduwak hadala godak aya eka balala
ඒක වෙනස් කරන්න මට පුලුවන් කමක් නෑ.,eka wenas karanna mata puluwan kamak na.
එළවලු ගණන් අඩුයි අද.,elawalu ganan adui adha.
හිනා වෙලා ඉන්න එක තමයි හොද.,hina wela inna eka thamai hoda.
යාලුවගෙ බර්ත්ඩේ පාටි එකට යනවා.,yaluwage birthday party ekata yanawa.
එහෙම වෙන්න පටන් ගත්තෙ කවද්ද?,ehema wenna patan gaththe kawadda?
ඔයා ඒක දුන්නද?,oya eka dunnada?
මම ඒක අප්ඩේට් කරා ආයෙ,mama eka update kara aaye
අපි දෙන්නා බෙදාගෙන ගෙවමු.,api denna bedagena gewamu.
ඔයා හොදින් නේද සද්දයක් නැති නිසා බැලුවේ,oya hodin neda saddayak nathi nissa baluwe
එයා ජනාධිපති වුනාට වඩා හොදයි නිකන් හිටියනන්,eya janadipathi wunata wada hodai nikan hitiyanan
විදුලි බිල ගෙවන්න යන්න මතක තියාගන්න.,widuli bila gewanna yanna mathaka thiyaganna.
මේ පාර ගේම් එක අපි දිනනවා.,meh para game eka api dinanawa.
මට මේක කරගන්න පොඩි උදව්වක් ඕනේ.,mata meka karaganna podi udawwak one.
"අහස අදුරු වෙලා, වහින්න යන්නෙ.","ahasa aduru wela, wahinna yanne."
ඔයා ඒක සිම්ප්ල් විදියට හිතනවා වැඩී.,oya eka simple widiyata hithanawa wadi.
රිසිප්ට් එක අරන් එතනම විසි කරනවා,receipt eka aran ethanama visi karanawa
එයා බොරුවක් කරන්නෙ කියලා හිතෙන්නෙ නැද්ද,eya boruwak karanne kiyala hithenne nadda
මම හිතන්නේ අප්ලෝඩ් කරන්න කලින් පෙන්නනවා,mama hithanne upload karanna kalin pennanawa.
ඔයාට මේ වගේ දෙයක් කලින් වෙලාම නැද්ද?,oyata meh wage deyak kalin welama nadda?
හරිම ෂෝක් අපි ගිය පැත්ත,harima shok api giya paththa
ඒ පැත්ත නිකන් කැලෑව වගේ,a paththa nikan kalawa wage
පන්තියේ හිටියට හිත වෙන තැනක.,panthiye hitiyata hitha wena thanaka.
අපේ දෙයක් දකිද්දි එන සතුට වචන වලට පෙරලන්න බෑ. මාරම ආඩම්බරයි,ape deyak dakiddi ana sathuta wachana walata peralanna bah maarama adambarai.
ඒක කරපු එක නම් මෝඩකමක්.,eka karapu eka nm modakamak.
ට්‍රිප් එක යන්න සෙට් එක එකතු කරගන්න ඕනේ.,trip eka yanna set eka ekathu karaganna one.
මේක ඔන්ලයින් නැද්ද?,meka online nadda?
එයා ගොඩක් බුද්දිමත් වගේ,eya godak buddimath wage
මොකක්ද බන් වෙලා තියෙන්නෙ කෝල් ආන්ස කරන්නෙත් නෑ,mokakda bn wela thiyenne call answer karanneth nah
පැය තුනක් විතර නිකන් හිටියේ,paya thunak withara nikan hitiye
"ඒකනන් කම්මැලි වැඩක්, වෙන දෙයක් කරමු.","eka nam kammeli wedak, wena deyak karamu."
ගෙදර යනකොට පරක්කු වෙයි වගේ.,gedara yanakota parakku wei wage.
මේක තමයි මේ සතියට ගියපු හොදම කතාව,meka thamai meh sathiyata giyapu hodama kathawa
මාකටින් නම් ඉතින් මුන් ඩබල තමා,marketing nm ithin mun dabala thama
මේ වගේ දේවල් වලට හිත යනවා.,meh wage dewal walata hitha yanawa.
එහෙනන් මම ඔයාට පස්සේ කතා කරන්නන්,ehenam mama oyaata passe katha karannan.
එයා කතා කරපු ගමන්ම යන්න පුලුවන්.,eya katha karapu gamanma yanna puluwan.
කලින් ගිය කැෆේ එක හොදටම හිත ගියා,kalin giya cafe eka hodatama hitha giya
පරිස්සමින් ගිහින් එන්න,parissamin gihin enna.
මේ සතියෙ ගොඩක් වැඩ තියෙනවා.,meh sathiye godak wada thiyenawa.
හෙට උදේ නැගිටිනකොට මට කෝල් එකක් දෙන්න.,heta ude nagitinakota mata call ekak denna.
හරිිම වෙලාවට හොයපු දේ දුන්නා,harima welawata hoyapu de dunna
ඔයාගේ පොස්ට් එකට ක්මෙන්ට්ස් ගොඩක් ඇවිල්ලා.,oyage post ekata comments godak awilla.
මම අමතක නොකර බිල් එක ගෙව්වා ඔන්න.,mama amathaka nokara bill eka gewwa onna.
ඔයා වගේ හොද යාලුවෙක් මට හම්බුනාමද කොහෙද,oya wage hoda yaluwek matta hambunamada koheda
ඔයා ඒක ගැන වැඩිය හිතන්න එපා.,oya eka gana wadiya hithanna epah.
වැස්ස නිසා රෙදි ටික වේලෙන්නේ නෑ.,wassa nisa redi tika welenne na.
අදත් කරන්ට් එක කපයි වගේ.,adath current eka kapai wage.
එයාට හරියටම මතකයි එදා උගන්නපු ටික,eyaṭa hariyatama mathakai eda ugannapu tika
මම එතකොට කොහොමද යන්නේ,mama ethakota kohomada yanne
අපි මේ ප්‍රශ්නේ විසදගන්න ඕනේ.,api me prashne wisadaganna one.
ගොඩක් කාලෙකින් ඔයාව දැක්කේ.,godak kalekin oyawa dakke.
එයා නම් දැන් ලොකු කතාවක් දෙනවා.,eya nm dan loku kathawak denawa.
අදනන් හොදටම පායයි වගේ රස්නෙයි මාර විදිහට,adanan hodatama payai wage rasnei maara widihata
මේක ගැන හිත හිතම හිටියේ මන් මොකක්ද කරන්න ඕන කියලා,meka gana hitha hithama hitiye mn mokadda karanna ona kiyala
ඊයේ මරු වැඩක් වුනේ පාරෙදි තව ටිකකින් මන් හැප්පෙනවා,eeye maru wadak wune paaredi thawa tikakin mn happenawa
ඔයා පිළිවෙලට මේසෙ තියන් ඉන්නවනේ,oya piliwelata mese thiyan innawane
"ඕගොල්ලොන්ට බඩගිනි නැද්ද, අපි මොනහරි කමු","ogollonta badagini nadda, api monahari kamu"
අපිට කරන්ට් කපනවා කියන එක අලුත් දෙයක් නෙවෙයිනේ,apitta current kapanawa kiyana eka aluth deyak neweine
මට කිව්වෙ නෑනේ ඒ නිසා ඕන නෑ,matta kiwwe naane a nissa ona na
එයාගේ වට්සප් එකේ ලාස්ට් සීන් එක බලන්න.,eyage whatsapp eke last seen eka balanna.
ෆෝන් එක චාජ් එකට ගහන්න ඕනේ.,phone eka charge ekata gahanna one.
මෙයා පොඩි වැඩි එච්චර බඩු ටිකක් අරන් යන්න,meya podi wadi echchara badu tikak aran yanna
අනිද්දා ට්‍රිප් එක යන්න කලින් නැගිටින්න වෙයිද දන්නේ නෑනේ,aniddata trip eka yanna kalin nagitinna weida danne naane
දවසකට වතුර කොච්චරක් බොන්න ඕනෙද?,dawasakata wathura kochcharak bonna oneda?
ඒක තේරෙන්නෙ නැත්නම් අහලා ඉගෙන ගන්න.,eka therenne nathnam ahala igena ganna.
මම නම් එහෙම හිතන්නෙ නෑ,mama nm ehema hithanne nah
දැන් යන්න ලෑස්ති වෙන්න නැත්තන් පරක්කු වෙනවා,dan yanna lasthi wenna nattan parakku wenawa
ප්‍රායෝගික පරීක්ෂණය සදහා රියදුරු පාසල වෙත පැමිණෙන්න,prayogika parikshaṇaya sadaha riyaduru paasala vetha pamiṇenna
අපේ වැඩේ හෙට වෙද්දි කරලා දෙන්න ඕන,apeh wade hetta weddi karala denna ona
මම ස්ටේෂන් එකට යනකන් පොඩ්ඩක් ඉන්න.,mama station ekata yanakan poddak inna.
කෝපියක් බීලම වැඩේ පටන් ගන්නවා,kopiyak beelama wade patan gannawa
දරුවන්ට ලේසි විදිහට කියලා දෙනවා.,daruwanta lesi widihata kiyala denawa.
බඩගිනි. මොකක් හරි කොත්තු එකක් ගෙන්න ගමු.,badagini. mokak hari kottu ekak gennagamu.
දැනටමත් හෙන වෙලාවක් ගිහින්,danatamath hena welawak gihin
"මූට නම් පිස්සු, මොනා කියනවද මන්දා.","muta nm pissu, mona kiyanawada mnda."
මම වෙන ෂෝර්ට් වීඩියෝ එකකට සින්දුවක් දැම්මා ඒක තමා.,mama wena short video ekakata sinduwak damma eka thama.
අඩේ මේක බලලා ඉවර උනා විතරයි ගූගල් එකේ ඇඩ් එකක් ප්ලේ උනා,ade meka balala iwara una witharai google eke ad ekak play una
ඒ කොණ්ඩෙ කපනකන් මන් ඉවසන් හිටියෙ හරි අමාරුවෙන්,a konde kapanakan mn iwasan hitiye hari amaruwen
මට ඉතින් ගොඩක් දුක හිතුනා එහෙම කිව්වැන් පස්සෙ,matta ithin godak duka hithuna ehema kiwwan passe
ඒකට ගිහින් සල්ලි අරන් ඉස්සරහා නවත්තලා තිබුණ බස් එකට නැග්ගා.,ekata gihin salli aran issaraha nawaththala thibuna bus ekata negga
ඒක කොහොමහරි ගොඩ දාගත්තා,eka kohomahari goda daagatta
අන්තිම ටිකනන් ඇත්තටම අනාගතේ වෙන්න බැරි කමක් නෑ,anthima tikanam aththatama anagathe wenna bari kamak na
එහෙම උනොත් එයාට අවුලක් වෙයිනේ,ehema unoth eyaṭa awulak weine
මේ අවුරුද්දෙම එකතු කරපු සල්ලි ෂොපින් වලටම වියදන් වුනා,meh awuruddema ekathu karapu salli shopping walatama wiyadan wuna
පොඩි බබාව ස්කූල් එකෙන් ගන්න යනවා.,podi babawa school eken ganna yanawa.
ඒක මගේ වැරැද්ද කියලා පිළිගන්නවා.,eka mage waradda kiyala piligannawa.
දැන්නන් ටැක්ස් එක හොදටම වැඩි කරලා නේද,dannan tax eka hodatama wadi karala neda
පාස්වර්ඩ් එක අමතක වෙනවනන් කොහෙ හරි ලියාගන්න,password eka amathaka wenawanan kohe hari liyaganna
මම ලංකාවේ රූපවාහිනී නාලිකා බලන එක නතර කරා.,mama lankawe rupavahini nalika balana eka nathara kara
උදෙන්ම මන් ඇවිදින්න ගියා බර අඩුවෙන්නත් එක්ක කියලා,udenma mn awidinna giya bara aduwennath ekka kiyala
හොද සින්දුවක් අහමුද වෙනසකටත් එක්ක,hoda sinduwak ahamuda wenasakatath ekka
අවුලක් නෑ ඔයා හෙටම එන්න.,awulak nah oya hetama enna.
කීබෝඩ් එක හරියට වැඩ කරන්නේ නෑ,keyboard eka hariyata wada karanne nah
